year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type,car_state
2012,Audi,A4,146000.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,10499.0,10.0,7.0,2.0,4.0,Other,2
2015,MINI,Countryman,118220.0,Wagon,Automatic,4X4,blue,black,5,4,gasoline,15645.5,9.5,7.7,1.6,4.0,Inline,1
2018,Chevrolet,Silverado,89201.0,Truck,Automatic,4X4,black,black,6,4,gasoline,39490.0,15.0,10.7,5.3,8.0,Inline,2
2018,Nissan,Rogue,169000.0,SUV,CVT,4X4,black,black,5,4,gasoline,7812.375,9.7,7.4,2.5,4.0,Other,3
2010,Honda,Odyssey,246300.0,Van,Automatic,FWD,white,gray,5,4,gasoline,2311.175,13.3,8.5,3.5,4.0,Other,3
2015,Jeep,Compass,142102.0,SUV,Automatic,4X4,white,black,5,4,gasoline,14987.0,11.4,8.7,2.4,4.0,Inline,1
2017,Mercedes-Benz,C43,120155.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,36899.0,10.8,8.7,3.0,6.0,Inline,2
2023,Jeep,Wrangler,35.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,70998.0,10.8,8.7,3.6,6.0,V-Engine,1
2020,Ford,Explorer,40130.0,SUV,Automatic,4X4,white,black,5,4,gasoline,42995.0,11.6,8.7,2.3,4.0,Other,1
2023,GMC,Sierra,10.0,Truck,Automatic,4X4,black,black,5,4,gasoline,88850.0,15.4,12.3,2.4,8.0,Inline,1
2018,Infiniti,Q50,74476.0,Sedan,Automatic,4X4,black,gray,5,4,gasoline,30388.0,12.4,8.7,2.4,6.0,V-Engine,1
2017,Tesla,Model,72540.0,Sedan,Automatic,4X4,blue,black,5,4,electric,69500.0,0.0,8.7,2.4,0.0,Electric,1
2023,Jeep,Wrangler,16.0,SUV,Automatic,4X4,white,black,5,4,gasoline,56385.0,11.5,9.9,2.0,4.0,Inline,1
2023,Volkswagen,Atlas,1000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,58900.0,13.4,10.1,2.4,6.0,V-Engine,1
2021,Audi,e-tron,24833.0,SUV,Automatic,4X4,black,black,5,4,electric,81995.0,0.0,8.7,0.0,0.0,Electric,1
2012,Audi,Q5,167755.0,SUV,Automatic,4X4,blue,beige,5,4,gasoline,11388.0,10.6,7.7,2.4,4.0,Inline,2
2020,Honda,Accord,67567.0,Sedan,CVT,FWD,white,black,5,4,gasoline,33938.0,7.9,6.3,2.4,4.0,V-Engine,1
2009,Maserati,Quattroporte,123000.0,Sedan,Automatic,RWD,black,black,5,4,gasoline,22895.0,19.6,13.1,2.4,8.0,Inline,2
2018,Ford,Explorer,64200.0,SUV,Automatic,4X4,black,black,5,4,gasoline,43000.0,10.8,8.7,2.4,4.0,Inline,1
2014,Nissan,Murano,108359.0,SUV,CVT,4X4,blue,black,5,4,gasoline,17490.0,11.7,8.5,3.5,6.0,Inline,1
2019,Audi,Q5,68606.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,39800.0,10.9,8.7,2.4,4.0,Inline,1
2022,Maserati,Levante,3201.0,SUV,Automatic,4X4,gray,brown,5,2,gasoline,116888.0,15.1,10.9,3.0,6.0,Inline,1
2019,Tesla,Model,92866.0,SUV,Automatic,4X4,white,black,6,4,electric,81800.0,0.0,8.7,0.0,0.0,Electric,2
2017,Audi,S3,75225.0,Sedan,Automatic,4X4,gray,gray,5,4,gasoline,32088.0,11.0,8.5,2.0,4.0,Inline,1
2023,Ford,F-150,0.0,SUV,Automatic,4X4,black,black,5,4,gasoline,69395.0,10.8,8.7,2.4,4.0,V-Engine,1
2022,Dodge,Challenger,10023.0,Coupe,Automatic,4X4,green,black,5,4,gasoline,48999.0,12.8,8.7,3.6,6.0,V-Engine,1
2012,Audi,TTS,88000.0,Convertible,Automatic,4X4,red,black,2,2,gasoline,33800.0,10.1,7.4,2.4,4.0,Inline,2
2018,Dodge,Grand,144600.0,Van,Automatic,FWD,white,black,7,4,gasoline,11539.875,13.7,9.4,3.6,4.0,Other,2
2017,Rolls-Royce,Dawn,19000.0,Convertible,Automatic,RWD,gray,black,4,2,gasoline,358888.0,19.6,12.4,6.6,4.0,Other,1
2021,Jeep,Grand,14320.0,SUV,Automatic,4X4,white,black,5,4,gasoline,64725.0,13.0,9.4,3.6,6.0,V-Engine,1
2017,Mazda,Mazda3,37269.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,19990.0,8.4,6.4,2.4,4.0,Inline,1
2019,Infiniti,Q50,65458.0,Sedan,Automatic,4X4,gray,gray,5,4,gasoline,31910.0,12.4,8.7,2.4,6.0,V-Engine,1
2023,Ford,F-150,49.0,Truck,Automatic,4X4,white,black,5,4,gasoline,86030.0,13.5,10.2,3.5,6.0,V-Engine,1
2019,Honda,Civic,93306.0,Sedan,CVT,FWD,black,black,5,2,gasoline,24214.0,7.9,6.1,2.0,4.0,Inline,2
2023,GMC,SIERRA,35.0,Truck,Automatic,4X4,black,black,5,4,diesel,105513.0,10.8,8.7,6.6,8.0,Inline,1
2023,Honda,CR-V,22.0,SUV,CVT,4X4,white,black,5,4,gasoline,43417.0,9.1,7.6,2.4,4.0,Inline,1
1997,Kia,Elan,53278.0,Convertible,Manual,FWD,white,black,2,2,gasoline,19110.0,10.8,8.7,2.4,4.0,Inline,2
2023,Nissan,Frontier,50.0,Truck,Automatic,4X4,white,black,5,4,gasoline,50314.0,13.5,10.4,2.4,6.0,V-Engine,1
2019,BMW,X3,60000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,47498.0,11.9,8.7,3.0,4.0,V-Engine,1
2023,Jeep,Grand,60.0,SUV,Automatic,4X4,black,black,5,4,gasoline,86998.0,10.8,8.7,3.6,6.0,V-Engine,1
2019,Audi,S5,74324.0,Sedan,Automatic,4X4,white,black,5,2,gasoline,48400.0,11.3,8.0,2.4,4.0,Other,1
2023,Jeep,Wrangler,30.0,SUV,Automatic,4X4,blue,black,5,4,hybrid,64789.0,11.6,11.9,0.0,0.0,Electric,1
2022,Ford,Escape,10.0,SUV,CVT,4X4,silver,black,5,4,hybrid,48109.0,5.5,6.4,2.5,4.0,Hybrid,1
2023,Infiniti,QX80,25.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,96568.0,17.5,12.2,5.6,8.0,Inline,1
2019,Mazda,CX-3,35923.0,Wagon,Automatic,4X4,white,black,5,4,gasoline,24999.0,8.6,7.4,2.0,4.0,Inline,1
2016,Volkswagen,Golf,210000.0,Hatchback,Manual,FWD,black,gray,5,4,gasoline,3246.8125,9.3,6.5,2.4,4.0,Inline,3
2023,Jeep,Compass,90.0,SUV,Automatic,4X4,black,black,5,4,gasoline,48175.0,10.8,8.7,2.0,4.0,Inline,1
2013,Audi,A3,143000.0,Hatchback,Automatic,4X4,gray,black,5,4,gasoline,8845.5,9.6,7.5,2.4,4.0,Other,2
2015,Volkswagen,Jetta,182134.0,Sedan,Automatic,FWD,black,black,5,4,diesel,8332.15,7.5,5.3,2.0,4.0,Other,3
1998,Ferrari,355,13755.0,Convertible,Automatic,RWD,red,beige,5,4,gasoline,118416.7125,10.8,8.7,2.4,8.0,Inline,3
2018,Honda,Accord,83000.0,Sedan,CVT,FWD,red,black,5,4,gasoline,23182.5,8.2,6.8,2.4,4.0,Inline,3
2022,Ford,F-150,250.0,Truck,Automatic,4X4,gray,black,5,4,gasoline,69404.0,13.5,10.2,3.5,6.0,V-Engine,1
2020,Kia,Soul,83507.0,Hatchback,Automatic,FWD,black,black,5,4,electric,32999.0,0.0,8.7,0.0,0.0,Electric,2
2017,Porsche,Cayenne,91890.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,64495.0,14.5,10.4,2.4,6.0,V-Engine,1
2018,Subaru,WRX,56041.0,Sedan,CVT,4X4,black,black,5,4,gasoline,38480.0,12.6,9.6,2.4,4.0,Inline,1
2018,Infiniti,Q50,80000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,30450.0,12.4,8.7,2.4,6.0,V-Engine,1
2022,Jeep,Grand,18.0,SUV,Automatic,4X4,silver,black,5,4,hybrid,79885.0,10.3,9.7,0.0,0.0,Electric,1
2021,Nissan,Rogue,48886.0,SUV,CVT,4X4,metallic,black,5,4,gasoline,38898.0,9.2,7.2,2.4,4.0,Inline,1
2014,Hyundai,Genesis,75000.0,Coupe,Manual,RWD,black,black,5,2,gasoline,23990.0,10.8,8.7,2.4,4.0,Inline,1
2022,Honda,Odyssey,33619.0,Van,Automatic,FWD,blue,black,5,4,gasoline,54799.0,12.2,8.5,3.5,6.0,V-Engine,1
2018,Kia,Forte,94133.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,16985.0,8.7,6.449999999999999,2.0,4.0,V-Engine,2
2023,Jeep,Wrangler,12.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,59980.0,10.8,8.7,3.6,6.0,V-Engine,1
2018,Ford,F-150,153445.0,Truck,Automatic,4X4,white,black,5,4,gasoline,25349.15,14.6,10.9,2.4,8.0,Inline,3
2017,Ford,Escape,90.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,13995.0,11.1,8.5,2.4,4.0,Inline,1
2022,Hyundai,Sonata,4000.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,32700.0,8.8,6.4,2.5,4.0,Other,1
2013,Infiniti,JX35,124386.0,SUV,CVT,4X4,other,black,7,4,gasoline,17500.0,11.5,8.5,2.4,6.0,V-Engine,2
2023,Jeep,WRANGLER,2561.0,SUV,Automatic,4X4,other,black,5,4,gasoline,65998.0,13.8,10.1,2.4,6.0,V-Engine,1
2016,Acura,TLX,89500.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,20150.0,10.8,8.7,2.4,4.0,Inline,2
2017,Ford,Edge,145864.0,SUV,Automatic,4X4,black,black,5,4,gasoline,14207.35,12.9,9.3,2.4,6.0,V-Engine,3
2023,Mazda,CX-30,100.0,SUV,Automatic,4X4,black,black,5,4,gasoline,32550.0,9.0,7.1,2.5,4.0,Inline,1
2018,Volkswagen,Tiguan,133000.0,SUV,Automatic,4X4,white,white,7,4,gasoline,21855.0,11.3,8.8,2.4,4.0,Inline,2
2020,Hyundai,Santa,34063.0,SUV,Automatic,4X4,black,black,5,4,gasoline,32699.0,11.3,8.8,2.4,4.0,Inline,1
2020,Jeep,WRANGLER,78003.0,SUV,Automatic,4X4,black,black,5,4,gasoline,39850.0,13.350000000000001,10.399999999999999,2.4,6.0,V-Engine,2
2021,Mercedes-Benz,AMG,39986.0,SUV,Automatic,4X4,black,black,5,2,gasoline,136937.0,10.8,8.7,4.0,8.0,Inline,1
2021,Mercedes-Benz,A250,8421.0,Hatchback,Automatic,4X4,white,black,5,4,gasoline,43995.0,9.4,6.8,2.4,4.0,Inline,1
2021,Hyundai,Sonata,18000.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,32288.0,8.8,6.4,2.4,4.0,Inline,1
2019,Mazda,CX-5,65500.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,32488.0,10.8,8.7,2.5,4.0,Inline,1
2023,Ford,F-150,10.0,Truck,Automatic,4X4,gray,black,5,4,electric,95645.0,0.0,8.7,0.0,0.0,Electric,1
2022,Nissan,Rogue,13531.0,SUV,CVT,4X4,black,black,5,4,gasoline,44888.0,8.4,6.8,1.5,3.0,Inline,1
2023,Jeep,Cherokee,0.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,57180.0,11.8,9.2,2.4,4.0,Inline,1
2018,Alfa Romeo,Romeo,49645.0,SUV,Automatic,4X4,blue,black,5,2,gasoline,31999.0,10.8,8.3,2.0,4.0,Inline,1
2022,BMW,i4,1220.0,Hatchback,Automatic,4X4,green,black,5,4,electric,95899.0,0.0,8.7,0.0,0.0,Electric,1
2007,Ford,Fusion,115000.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,4500.0,10.8,8.7,2.4,4.0,Inline,2
2018,Audi,A5,73345.0,Coupe,Automatic,4X4,black,black,5,2,gasoline,30480.0,10.0,7.0,2.4,4.0,Inline,1
2016,Honda,Accord,143018.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,11254.400000000001,9.0,6.7,2.4,4.0,Other,2
2018,Honda,Pilot,118808.0,SUV,Automatic,4X4,black,black,7,4,gasoline,27605.5,13.0,9.3,2.4,6.0,V-Engine,2
2018,Porsche,Macan,31200.0,SUV,Automatic,4X4,red,black,5,4,gasoline,60999.0,13.8,10.3,2.4,6.0,V-Engine,1
2022,Ford,Escape,10086.0,SUV,Automatic,4X4,white,black,5,4,gasoline,42397.0,10.5,7.5,2.0,4.0,Inline,1
2013,Nissan,Rogue,200000.0,SUV,CVT,FWD,silver,black,5,4,gasoline,4839.5,9.0,7.0,2.4,4.0,Inline,3
2011,Chevrolet,Equinox,91980.0,SUV,Automatic,4X4,white,black,5,4,gasoline,12490.0,10.8,8.7,2.4,6.0,V-Engine,1
2022,Porsche,911,2201.0,Coupe,Manual,RWD,black,black,2,2,gasoline,365900.0,16.25,12.899999999999999,2.4,6.0,Inline,1
2015,Jeep,Wrangler,107000.0,SUV,Automatic,4X4,brown,black,5,4,gasoline,38400.0,14.9,11.55,2.4,6.0,V-Engine,2
2010,Kia,Soul,140761.0,Hatchback,Automatic,FWD,other,gray,4,4,gasoline,9800.0,8.55,6.55,2.4,4.0,Inline,1
2019,Porsche,Cayenne,63403.0,SUV,Automatic,4X4,white,gray,5,4,gasoline,65499.0,10.8,8.7,2.4,6.0,V-Engine,1
2010,Mazda,CX-9,208438.0,SUV,Automatic,4X4,blue,beige,7,4,gasoline,6181.735000000001,14.0,9.6,2.4,6.0,V-Engine,3
2023,Hyundai,Elantra,12.0,SUV,Automatic,4X4,black,black,5,4,gasoline,39000.0,10.8,8.7,2.4,4.0,Inline,1
2014,Porsche,Panamera,44797.0,Hatchback,Automatic,4X4,gray,brown,4,4,gasoline,44888.0,11.7,7.5,2.4,6.0,V-Engine,1
2017,Ford,Transit,182000.0,Van,Automatic,RWD,white,black,2,3,gasoline,29123.32,16.7,13.0,2.4,6.0,V-Engine,3
2023,GMC,Sierra,10.0,Truck,Automatic,4X4,black,black,5,4,gasoline,94028.0,16.7,14.0,6.2,8.0,V-Engine,1
2023,Mazda,CX-5,1397.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,49675.0,10.8,8.7,2.5,4.0,Inline,1
2023,Chevrolet,Equinox,10.0,SUV,Automatic,4X4,black,black,5,4,gasoline,42173.0,9.9,7.9,1.5,4.0,Other,1
2014,Audi,A4,137959.0,Sedan,CVT,FWD,white,black,5,4,gasoline,13990.0,8.6,6.2,2.4,4.0,Inline,2
2020,Mazda,Mazda3,43199.0,Hatchback,Automatic,FWD,gray,red,5,4,gasoline,29999.0,9.1,6.699999999999999,2.4,4.0,Inline,1
2012,Honda,Civic,199000.0,Sedan,Manual,FWD,white,black,5,4,gasoline,4266.175,7.2,5.4,2.4,4.0,Inline,3
2021,Hyundai,Kona,21656.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,35890.0,9.0,8.0,2.4,4.0,Inline,1
2022,Ford,F-150,16800.0,Truck,Automatic,4X4,white,black,5,4,gasoline,70569.0,13.5,10.2,3.5,6.0,V-Engine,1
2022,Ford,F-150,0.0,Truck,Automatic,4X4,black,black,5,4,gasoline,64030.0,13.5,10.2,3.5,6.0,V-Engine,1
2017,Kia,Niro,296000.0,Wagon,Automatic,4X4,white,black,5,4,hybrid,500.0,4.6,5.1,2.4,4.0,Inline,4
2011,Mercedes-Benz,S-Class,168152.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,17445.0,14.2,9.0,2.4,8.0,Inline,2
2023,Chevrolet,Corvette,735.0,Convertible,Automatic,RWD,red,black,5,2,gasoline,150000.0,10.8,8.7,2.4,4.0,Inline,1
2020,Nissan,Rogue,79000.0,SUV,CVT,4X4,black,black,5,4,gasoline,25450.0,9.6,7.5,2.4,4.0,Inline,2
2020,Porsche,Cayenne,35942.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,94002.0,12.5,10.3,2.4,6.0,V-Engine,1
2023,Chevrolet,SILVERADO,0.0,Truck,Automatic,4X4,black,black,5,2,diesel,100226.0,10.8,8.7,6.6,8.0,Inline,1
2023,Hyundai,Santa,99.0,SUV,Automatic,4X4,black,black,5,4,gasoline,45849.0,10.6,9.3,2.4,4.0,Inline,1
2015,Volkswagen,Passat,116774.0,Sedan,Manual,FWD,gray,black,5,4,gasoline,17995.0,9.75,6.65,2.4,4.0,Inline,2
2021,Volvo,XC90,39560.0,SUV,Automatic,4X4,silver,gray,7,4,gasoline,65395.0,10.8,8.7,2.0,4.0,Inline,1
2018,Honda,CR-V,139985.0,SUV,CVT,4X4,silver,black,5,4,gasoline,16871.25,8.7,7.2,2.4,4.0,Inline,2
2008,Ferrari,F430,62560.0,Convertible,Automatic,RWD,red,black,5,2,gasoline,168800.0,21.4,14.7,2.4,8.0,Inline,1
2020,Kia,Sportage,43974.0,SUV,Automatic,4X4,black,black,5,4,gasoline,25495.0,10.8,9.1,2.4,4.0,Inline,1
2023,GMC,SIERRA,15.0,Truck,Automatic,4X4,black,black,5,2,diesel,80573.0,10.8,8.7,6.6,8.0,Inline,1
2023,Kia,Seltos,50.0,SUV,Automatic,4X4,white,black,5,4,gasoline,40652.0,9.4,7.9,1.6,4.0,Inline,1
2022,Kia,Sorento,12421.0,SUV,Automatic,4X4,gray,black,5,4,hybrid,44887.0,6.4,7.0,2.4,4.0,Inline,1
2022,Jeep,Wrangler,3710.0,SUV,Automatic,4X4,silver,black,5,4,hybrid,68990.0,11.6,11.9,0.0,0.0,Electric,1
2021,Porsche,Macan,11029.0,SUV,Automatic,4X4,black,black,5,4,gasoline,75900.0,12.2,10.2,2.4,4.0,Inline,1
2021,Hyundai,Kona,73365.0,SUV,Automatic,4X4,black,black,5,4,gasoline,24141.5,9.2,7.8,2.4,4.0,Inline,1
2019,Acura,RDX,75786.0,SUV,Automatic,4X4,white,black,5,4,gasoline,32549.199999999997,11.3,9.1,2.4,4.0,Inline,2
2020,BMW,X5,74000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,72390.0,10.8,8.7,4.4,4.0,Other,2
2021,Jeep,Compass,50830.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,32498.0,10.8,7.8,2.4,4.0,Inline,1
2019,Volkswagen,Jetta,115000.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,14429.369999999999,7.8,5.9,2.4,4.0,Inline,2
2020,Porsche,Cayenne,38555.0,SUV,Automatic,4X4,gray,black,5,4,hybrid,115910.0,10.8,8.7,2.4,6.0,V-Engine,1
2015,BMW,M4,65917.0,Coupe,Automatic,RWD,black,black,4,2,gasoline,57995.0,10.8,8.7,2.4,6.0,Inline,1
2016,Ford,Fusion,175000.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,8931.9,10.8,7.5,2.0,4.0,Other,2
2007,Ford,Explorer,225000.0,Truck,Automatic,4X4,blue,gray,5,4,gasoline,4295.5,16.8,11.0,4.6,4.0,Other,2
2021,Audi,A6,22485.0,SUV,Automatic,4X4,white,black,5,4,gasoline,62888.0,10.8,8.7,2.4,6.0,V-Engine,1
2018,Porsche,Cayenne,97558.0,SUV,Automatic,4X4,black,black,5,4,electric,60500.0,0.0,9.8,2.4,0.0,Electric,2
2017,Mercedes-Benz,C-Class,31480.0,Coupe,Automatic,4X4,white,red,5,2,gasoline,47800.0,10.8,8.7,2.4,6.0,Inline,1
2021,Ford,Mustang,47745.0,Coupe,Manual,4X4,red,black,5,4,gasoline,43888.0,10.8,8.7,5.0,8.0,V-Engine,1
2018,Subaru,Forester,86394.0,SUV,CVT,4X4,white,black,5,4,gasoline,29888.0,10.2,8.6,2.0,4.0,Other,2
2016,Honda,CR-V,98185.0,SUV,CVT,4X4,white,black,5,4,gasoline,25999.0,9.5,7.5,2.4,4.0,Inline,1
2018,Audi,A5,68806.0,Sedan,Automatic,4X4,gray,black,5,2,gasoline,32401.0,10.0,7.0,2.4,4.0,Other,2
2019,Honda,Civic,64000.0,Sedan,CVT,FWD,white,black,5,4,gasoline,28380.0,7.8,6.2,2.4,4.0,Inline,2
2019,Infiniti,QX50,68877.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,35000.0,10.8,8.7,2.4,4.0,Inline,1
2020,Honda,Civic,33139.0,Compact,CVT,FWD,blue,black,5,4,gasoline,27498.0,7.9,6.1,2.0,4.0,Inline,1
2020,Chevrolet,Tahoe,92000.0,SUV,Automatic,4X4,black,black,7,4,gasoline,51145.5,16.0,11.2,2.4,8.0,Inline,2
2023,Jeep,Wrangler,0.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,59980.0,11.5,9.9,2.0,4.0,Inline,1
2016,Ford,Fusion,188000.0,Sedan,Automatic,FWD,white,gray,5,4,gasoline,8620.0,9.9,6.5,2.4,4.0,Inline,2
2018,Audi,A3,59000.0,Sedan,Automatic,4X4,blue,brown,5,4,gasoline,24880.0,9.7,7.5,2.4,4.0,Inline,1
2006,Lamborghini,Gallardo,20245.0,Coupe,Manual,4X4,green,black,2,2,gasoline,249400.0,24.8,14.75,2.4,10.0,V-Engine,2
2021,Chevrolet,SILVERADO,13147.0,Truck,Automatic,4X4,white,black,5,2,gasoline,59985.0,10.8,8.7,6.6,8.0,Inline,1
2023,Audi,Q5,90.0,SUV,Automatic,4X4,blue,brown,5,4,gasoline,65243.0,10.8,8.7,2.0,4.0,Inline,1
2016,Mazda,CX-5,117059.0,SUV,Automatic,FWD,white,black,5,4,gasoline,17480.0,9.0,7.05,2.0,4.0,Other,2
2019,Kia,Forte,41388.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,23488.0,7.7,5.9,2.4,4.0,Inline,1
2023,Jeep,Wrangler,0.0,SUV,Automatic,4X4,white,black,5,4,gasoline,68480.0,11.5,9.9,2.0,4.0,Inline,1
2021,Nissan,NV200,47156.0,Van,CVT,FWD,other,black,2,4,gasoline,37608.0,9.9,9.1,2.4,4.0,Inline,1
2018,Nissan,Pathfinder,91246.0,SUV,Automatic,4X4,white,black,5,4,gasoline,24998.0,12.25,9.05,3.5,6.0,V-Engine,1
2015,Dodge,Journey,163100.0,SUV,Automatic,FWD,gray,black,5,4,gasoline,9200.0,10.8,8.7,2.4,4.0,Inline,3
2019,Honda,Pilot,73109.0,SUV,Automatic,4X4,silver,gray,5,4,gasoline,32789.1,13.0,9.3,3.5,6.0,V-Engine,1
2018,Nissan,Murano,76980.0,Wagon,Automatic,FWD,metallic,black,5,4,gasoline,27845.0,11.0,8.3,2.4,6.0,V-Engine,1
2018,Tesla,Model,106870.0,Sedan,Automatic,RWD,gray,black,5,4,electric,42988.0,0.0,8.7,0.0,0.0,Electric,2
2023,BMW,X5,298.0,SUV,Automatic,4X4,black,black,5,4,gasoline,117800.0,14.7,10.9,2.4,8.0,Inline,1
2018,Ferrari,488,3568.0,SUV,Automatic,RWD,white,black,2,2,gasoline,399900.0,10.8,8.7,2.4,4.0,Inline,1
2021,Hyundai,Santa,75200.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,28999.2,10.6,9.3,2.5,4.0,Other,1
2022,Volkswagen,Atlas,20864.0,SUV,Automatic,4X4,green,black,6,4,gasoline,57574.0,13.8,10.2,2.4,6.0,V-Engine,1
2011,MINI,COOPER,148000.0,Coupe,Manual,FWD,gray,black,5,3,gasoline,9000.0,10.8,8.7,2.4,4.0,Inline,1
2018,Jaguar,F-Pace,50113.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,36800.0,10.7,8.8,2.4,4.0,Inline,1
2023,BMW,330I,90.0,Sedan,Automatic,4X4,gray,black,5,2,gasoline,64021.0,9.8,7.0,2.0,4.0,Inline,1
2013,Chrysler,Town,143537.0,Van,Automatic,FWD,silver,black,7,4,gasoline,9617.35,10.8,8.7,3.6,4.0,Other,3
2019,Hyundai,Ioniq,58650.0,Hatchback,Automatic,FWD,black,black,5,4,hybrid,31899.0,4.3,4.4,1.6,4.0,Inline,1
2023,Hyundai,Sonata,8.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,41499.0,10.1,7.2,2.4,4.0,Inline,1
2010,Mazda,Mazda3,250000.0,Hatchback,Manual,FWD,black,black,5,4,gasoline,831.9000000000001,9.649999999999999,6.85,2.4,4.0,Inline,2
2021,Chevrolet,Silverado,52397.0,Truck,Automatic,4X4,blue,black,5,4,gasoline,50500.0,14.4,10.6,5.3,8.0,Inline,2
2023,GMC,Sierra,0.0,Truck,Automatic,4X4,black,black,5,2,diesel,89143.0,10.899999999999999,9.45,3.0,6.0,Inline,1
2010,Audi,S4,220500.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,6267.0,10.8,8.7,2.4,4.0,Inline,2
2017,Ford,Flex,121138.0,SUV,Automatic,4X4,gray,white,6,4,gasoline,15582.5,10.8,8.7,2.4,6.0,Inline,2
2017,Ferrari,California,12797.0,Convertible,Automatic,RWD,blue,red,5,2,gasoline,248800.0,14.7,10.2,2.4,8.0,Inline,1
2012,Ford,F-150,150936.0,Truck,Automatic,RWD,red,gray,5,4,gasoline,19650.0,10.8,8.7,2.4,4.0,Other,2
2016,Ford,GRUMMAN,254374.0,SUV,Automatic,4X4,white,black,5,4,gasoline,12746.2,10.8,8.7,2.4,4.0,Inline,3
2021,Rolls-Royce,Dawn,600.0,Convertible,Automatic,RWD,black,black,4,2,gasoline,699998.0,19.6,13.1,2.4,12.0,Inline,1
2022,Ford,Bronco,56.0,SUV,Automatic,4X4,red,black,5,4,gasoline,53904.0,11.1,9.0,2.0,4.0,Other,1
2023,Mazda,Mazda3,99.0,Hatchback,Automatic,4X4,white,black,5,4,gasoline,38233.0,9.0,7.0,2.5,4.0,Inline,1
2015,Dodge,Grand,235728.0,Van,Automatic,FWD,red,black,5,4,gasoline,635.67625,10.8,8.7,2.4,4.0,Inline,3
2022,Cadillac,Escalade,24165.0,SUV,Automatic,4X4,black,beige,5,2,gasoline,131894.0,16.3,12.7,6.2,8.0,Inline,1
2015,Subaru,WRX,181533.0,Sedan,Manual,4X4,black,black,5,4,gasoline,24099.1,10.8,8.7,2.4,4.0,Inline,2
2014,Audi,Q5,158000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,12896.85,10.5,7.2,2.4,4.0,Inline,2
2022,BMW,X6,12000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,96880.0,10.8,8.7,3.0,4.0,Other,1
2019,Volkswagen,Tiguan,70685.0,SUV,Automatic,4X4,black,black,7,4,gasoline,27498.0,11.1,8.1,2.4,4.0,Inline,1
2019,Honda,Civic,49000.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,23800.0,7.9,6.1,2.0,4.0,Other,1
2017,Volvo,S90,81000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,34180.0,10.8,8.7,2.4,4.0,Inline,2
2003,Volkswagen,New,146729.0,Convertible,Automatic,FWD,silver,black,4,2,gasoline,6499.2,10.2,7.3,2.4,4.0,Inline,2
2023,Volkswagen,Tiguan,90.0,SUV,Automatic,4X4,white,black,7,4,gasoline,48220.0,10.6,8.0,2.4,4.0,Inline,1
2015,Audi,RS,115821.0,Sedan,Automatic,4X4,black,white,4,4,gasoline,48499.0,10.8,8.7,2.4,8.0,Inline,2
2019,Mercedes-Benz,S-Class,16323.0,Coupe,Automatic,4X4,gray,black,4,4,gasoline,149910.0,14.0,8.7,2.4,8.0,V-Engine,1
2019,Audi,Q5,81455.0,SUV,Automatic,4X4,white,black,5,4,gasoline,38901.0,10.9,8.7,2.4,4.0,Other,2
2017,Nissan,Frontier,39587.0,Truck,Automatic,RWD,metallic,gray,4,4,gasoline,25990.0,14.8,10.6,2.4,6.0,V-Engine,1
